LTR10	UT_K27ac_rep1	UT_K27ac_rep2	Cobi_K27ac_rep1	Cobi_K27ac_rep2	TNFa_K27ac_rep1	TNFa_K27ac_rep2
chr1:1470955	196.961573199721	196.665723560712	231.005466798679	191.924437307389	178.068877214424	139.724607283788
chr1:1510504	415.20154350412	326.812158270007	353.818499780255	334.38381345308	400.854602518568	321.790004653572
chr1:2097856	17.459197624352	23.1371439483191	9.50338945690767	4.94650611616982	48.7094238120172	35.9896715730968
chr1:32447869	198.598372977004	173.528579612393	127.930242689142	159.277496940668	173.277786347668	175.714278856885
chr1:156398365	339.908753749102	323.920015276467	155.709381101641	145.427279815393	468.728389797609	432.934578629312
chr1:202483285	78.5663893095838	86.7642898061966	47.5169472845384	47.4864587152302	82.2470598793078	77.2719419069432
chr1:204523768	28.9167960653329	17.3528579612393	10.2344194151313	1.97860244646793	56.6945752566102	38.1067110773967
chr10:29438939	332.815954714209	358.625731198946	443.004154683542	466.950177366431	431.198178008022	481.626487228208
chr10:30099741	20.187197253157	23.1371439483191	16.8136890391443	11.8716146788076	54.2990298232323	68.803783889744
chr10:70633819	184.958374832979	216.910724515492	117.69582327401	126.630556573947	274.689209693999	322.848524405722
chr10:84118549	6.54719910913199	5.78428598707978	2.193089874671	3.95720489293585	20.7613937559418	4.23407900859963
chr11:9900177	193.142373719394	205.342152541332	106.730373900655	93.9836162072265	311.420906339127	386.359709534716
chr11:33642292	42.0111942835969	40.4900019095584	28.510168370723	61.3366758405057	53.500514678773	97.3838171977915
chr11:77299943	51.8319929472949	31.8135729289388	38.0135578276307	35.6148440364227	97.4188476240345	100.559376454241
chr11:100750231	513.4095301411	575.536455714438	364.052919195386	386.81677828448	731.439872324718	719.793431461937
chr12:31744327	228.606368893858	254.50858343151	133.047452396707	101.898025993098	313.816451772505	346.13595895302
chr12:62966391	38.1919948032699	20.2450009547792	16.0826590809207	13.8502171252755	54.2990298232323	42.3407900859963
chr12:63419062	54.5599925760999	31.8135729289388	16.0826590809207	28.6897354737849	71.8663630013369	82.5645406676928
chr13:45875898	8.72959881217598	2.89214299353989	0.731029958223667	3.95720489293585	18.3658483225639	21.1703950429981
chr14:20827869	215.511970675595	161.960007638234	205.41941826085	193.903039753857	324.197148650475	355.662636722369
chr14:30965738	1064.46545515971	1075.87719359684	1092.15875758616	1058.55230886034	1547.52234996212	1606.83298376356
chr14:30966344	1064.46545515971	1075.87719359684	1092.15875758616	1058.55230886034	1547.52234996212	1606.83298376356
chr14:31243827	237.335967706034	266.07715540567	238.315766380916	179.063521405347	423.213026563429	475.275368715308
chr14:53180843	58.9247919821879	31.8135729289388	50.441067117433	42.5399525990604	55.0975449676916	69.8623036418939
chr15:34154746	215.511970675595	156.175721651154	171.061010224338	123.662652904245	330.58526980615	340.84336019227
chr15:34161538	37.6463948775089	23.1371439483191	37.282527869407	43.5292538222944	104.605483924168	93.1497381891918
chr16:1296703	108.028785300678	95.4407187868163	141.819811895391	86.0692064213548	167.688180336453	158.777962822486
chr16:12612589	221.513569858965	153.283578657614	146.937021602957	168.181207949774	208.412452703877	276.273655311126
chr16:12613634	221.513569858965	153.283578657614	146.937021602957	168.181207949774	208.412452703877	276.273655311126
chr16:56984568	74.7471898292568	57.8428598707978	97.2269844437477	95.9622186536944	84.6426053126857	62.4526653768445
chr18:50239919	240.063967334839	260.29286941859	112.578613566445	92.0050137607586	373.705087606952	414.939742842764
chr19:2817348	29.4623959910939	34.7057159224787	14.6205991644733	10.8823134555736	56.6945752566102	62.4526653768445
chr19:9596943	74.2015899034958	34.7057159224787	33.6273780782887	32.6469403667208	150.919362302808	95.2667776934917
chr19:9673901	237.335967706034	190.881437573633	182.026459597693	136.523568806287	368.913996740196	285.800333080475
chr19:15873770	103.118385968829	127.254291715755	70.178875989472	26.711133027317	139.740150280377	150.309804805287
chr2:3660547	121.123183518942	147.499292670534	59.213426616117	36.6041452596566	133.352029124703	148.192765300987
