roadmap_category	roadmap_tissue	roadmap_tissue_file_size	overlaps	odds_ratio	fishers_two_tail	fishers_left_tail	fishers_right_tail	giggle_score
10_TssBiv	CD4pp_CD25pp_CD127__Treg_Primary_Cells.10_TssBiv	3169	4	7.6536184589801346	0.0045769527846283769	0.99941604147907053	0.0045769527846283769	6.8688797529096992
10_TssBiv	HeLa_S3_Cervical_Carcinoma.10_TssBiv	599	1	16.942629521246467	0.11146037276476378	0.99356199644784432	0.11146037276476378	3.8902124427374898
10_TssBiv	CD3_Primary_Cells_Peripheral_UW.10_TssBiv	1643	1	6.0871754067814177	0.28026942104715891	0.95650782467365405	0.28026942104715891	1.4394922489459136
10_TssBiv	HUES6_Cell_Line.10_TssBiv	11618	7	2.0776611514228884	0.11742321307665273	0.95685010360504377	0.096710451755343362	0.9813727181317305
10_TssBiv	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells.10_TssBiv	2966	1	2.9390013840167222	0.49388937812736432	0.85096163314622018	0.49388937812736432	0.4765057266373801
10_TssBiv	Monocytes_CD14pp_RO01746.10_TssBiv	3274	1	2.9362915986506026	0.49421088968131615	0.85073908923353399	0.49421088968131615	0.47565881449712975
10_TssBiv	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.10_TssBiv	3181	1	2.5032497290047617	0.55043527136535565	0.80920962961018598	0.55043527136535565	0.34325363597256739
10_TssBiv	Colon_Smooth_Muscle.10_TssBiv	3587	1	2.0907588114285223	0.61599588411965648	0.75180926650609317	0.61599588411965648	0.22389481608829175
10_TssBiv	Osteoblasts.10_TssBiv	3971	1	2.0569803288953752	0.62198438243505378	0.74603056237223146	0.62198438243505378	0.21457822465949737
10_TssBiv	Stomach_Smooth_Muscle.10_TssBiv	6945	2	1.9156061680255232	0.67283526431168241	0.79201881607486646	0.46449341319216885	0.1613873482314744
10_TssBiv	Stomach_Mucosa.10_TssBiv	2092	0	2.0861170409708163	1	0.61944647447391556	0.99999999999948568	-0
10_TssBiv	Spleen.10_TssBiv	500	0	9.3502202755614103	1	0.89877979229555561	1.0000000000045378	-0
10_TssBiv	Small_Intestine.10_TssBiv	1984	0	1.8773931081577304	1	0.5873509680468323	0.9999999999983125	-0
10_TssBiv	Skeletal_Muscle_Male.10_TssBiv	5646	1	1.5474787993085879	1	0.62968806755269098	0.72551608481955201	-0
10_TssBiv	Sigmoid_Colon.10_TssBiv	1905	0	2.0847881102347414	1	0.6192747167231319	1.000000000003858	-0
10_TssBiv	Right_Ventricle.10_TssBiv	2073	0	2.2010132760495922	1	0.63512357769088939	1.0000000000056176	-0
10_TssBiv	Right_Atrium.10_TssBiv	493	0	9.4368198432338968	1	0.89966310185493778	0.9999999999983135	-0
10_TssBiv	Rectal_Smooth_Muscle.10_TssBiv	4912	1	1.3807441182481326	1	0.5754734751862286	0.76514637222179547	-0
10_TssBiv	Rectal_Mucosa.Donor_31.10_TssBiv	3543	0	1.0751524135024508	1	0.39488362542712874	1.0000000000015579	-0
10_TssBiv	Placenta_Amnion.10_TssBiv	972	0	4.9356224191271751	1	0.81680635294997783	0.99999999999793703	-0
10_TssBiv	Pancreatic_Islets.10_TssBiv	1995	0	1.7316250147353534	1	0.56163299294626204	1.0000000000007196	-0
10_TssBiv	Pancreas.10_TssBiv	36	0	123.54420405059791	1	0.9921563185301848	1.0000000000004859	-0
10_TssBiv	Ovary.10_TssBiv	948	0	4.7194839634667263	1	0.80927858186859924	0.99999999999921799	-0
10_TssBiv	NHLF_Lung_Fibroblasts.10_TssBiv	2812	0	1.3639300725622636	1	0.48071713763710752	1.0000000000033898	-0
10_TssBiv	NHDF_Ad_Adult_Dermal_Fibroblasts.10_TssBiv	2324	0	1.7127332728322746	1	0.55804249500907163	1.0000000000069784	-0
10_TssBiv	NH_A_Astrocytes.10_TssBiv	3212	0	1.3329807057804652	1	0.4725942027908824	0.99999999999594146	-0
10_TssBiv	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived.10_TssBiv	3059	0	1.5306387175501064	1	0.52060359157806257	1.0000000000023354	-0
10_TssBiv	Neurosphere_Cultured_Cells_Cortex_Derived.10_TssBiv	2012	0	2.4047279638869092	1	0.66001837411044213	0.99999999999585737	-0
10_TssBiv	Muscle_Satellite_Cultured_Cells.10_TssBiv	3148	0	1.4134036786736179	1	0.49317640853552674	0.99999999999381893	-0
10_TssBiv	Mobilized_CD34_Primary_Cells_Male.10_TssBiv	2137	0	2.6204773445555878	1	0.68296995978948184	0.99999999999854262	-0
10_TssBiv	Mobilized_CD34_Primary_Cells_Female.10_TssBiv	1213	0	4.4879959719723432	1	0.80045018521497206	1.0000000000008529	-0
10_TssBiv	Lung.10_TssBiv	627	0	7.3915934969944788	1	0.87367466731713797	1.000000000008353	-0
10_TssBiv	Left_Ventricle.10_TssBiv	2231	0	1.7936134715690859	1	0.57291609460016442	1.0000000000052577	-0
10_TssBiv	K562_Leukemia.10_TssBiv	757	0	6.4920338216736733	1	0.85744264554867781	1.0000000000013051	-0
10_TssBiv	iPS_DF_19.11_Cell_Line.10_TssBiv	3063	0	1.597192961075905	1	0.53495109977599335	0.99999999999839474	-0
10_TssBiv	IMR90_Cell_Line.10_TssBiv	3589	0	1.1584598451224986	1	0.422149687248555	0.99999999999886226	-0
10_TssBiv	HUVEC_Umbilical_Vein_Endothelial_Cells.10_TssBiv	1937	0	2.4841083828874129	1	0.66884293218811605	0.99999999999998885	-0
10_TssBiv	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM.10_TssBiv	2447	0	1.5463675133309933	1	0.52410646777266364	1.0000000000010267	-0
10_TssBiv	HSMM_Skeletal_Muscle_Myoblasts.10_TssBiv	3172	0	1.1453899308664943	1	0.41803776539170646	0.99999999999606136	-0
10_TssBiv	HMEC_Mammary_Epithelial.10_TssBiv	1246	0	4.0860787116701571	1	0.78311558417473145	1.0000000000004002	-0
10_TssBiv	H9_Derived_Neuron_Cultured_Cells.10_TssBiv	2634	0	1.6653527907326615	1	0.54884072804377091	1.0000000000015098	-0
10_TssBiv	H9_Derived_Neuronal_Progenitor_Cultured_Cells.10_TssBiv	3779	0	1.0506021732364443	1	0.38639880203165928	1.0000000000032716	-0
10_TssBiv	H1_Derived_Neuronal_Progenitor_Cultured_Cells.10_TssBiv	2368	0	1.6254001224253167	1	0.54082903595737644	0.99999999999983211	-0
10_TssBiv	H1_Derived_Mesenchymal_Stem_Cells.10_TssBiv	1901	0	3.0951945858579344	1	0.72410593894605888	1.0000000000004444	-0
10_TssBiv	H1_BMP4_Derived_Trophoblast_Cultured_Cells.10_TssBiv	2629	0	1.8069783046298369	1	0.57525262011573681	0.99999999999491321	-0
10_TssBiv	GM12878_Lymphoblastoid.10_TssBiv	2046	0	2.2449339498761209	1	0.640789191735833	0.999999999998396	-0
10_TssBiv	Gastric.10_TssBiv	77	0	65.588841891271571	1	0.98506326235386467	1.0000000000016715	-0
10_TssBiv	Fetal_Thymus.10_TssBiv	3426	0	1.1820334533123078	1	0.42947500690456469	0.99999999999651619	-0
10_TssBiv	Fetal_Placenta.10_TssBiv	1563	0	2.7906729744049295	1	0.69908392990347101	1.0000000000019071	-0
10_TssBiv	Fetal_Lung.10_TssBiv	3367	0	1.1984739780452098	1	0.43448274745697109	1.0000000000054199	-0
10_TssBiv	Fetal_Heart.10_TssBiv	629	0	8.3158730158730165	1	0.88688458436326482	1.0000000000028633	-0
10_TssBiv	Fetal_Brain_Male.10_TssBiv	2301	0	2.0238450496732519	1	0.61037269530355118	0.99999999999742874	-0
10_TssBiv	Esophagus.10_TssBiv	1903	0	2.2039903877151885	1	0.6355281928287669	1.0000000000047476	-0
10_TssBiv	Duodenum_Smooth_Muscle.10_TssBiv	6520	1	1.0663338648735692	1	0.44114778726158581	0.8467165672664839	-0
10_TssBiv	Dnd41_TCell_Leukemia.10_TssBiv	548	0	9.0806954285634429	1	0.89591977933203035	0.99999999999901648	-0
10_TssBiv	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells.10_TssBiv	3611	0	1.2660632503759848	1	0.45423220187633298	0.99999999999980243	-0
10_TssBiv	CD8_Naive_Primary_Cells.10_TssBiv	988	0	4.7633003964323679	1	0.81084703412287566	1.0000000000011516	-0
10_TssBiv	CD8_Memory_Primary_Cells.10_TssBiv	985	0	5.013424516115645	1	0.81937235181170097	1.0000000000001625	-0
10_TssBiv	CD56_Primary_Cells.10_TssBiv	730	0	7.0917514808219133	1	0.86867192752255377	1.0000000000018943	-0
10_TssBiv	CD4pp_CD25__Th_Primary_Cells.10_TssBiv	1244	0	4.1923869390605901	1	0.78798446145625214	0.9999999999967628	-0
10_TssBiv	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells.10_TssBiv	1921	0	2.363071555365122	1	0.65521159028030146	1.0000000000008491	-0
10_TssBiv	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells.10_TssBiv	1160	0	4.3574780097411399	1	0.79514034483140129	1.0000000000025665	-0
